day,hour,min,filter1_rot,filter1_x,filter1_y,filter2_rot,filter2_x,filter2_y,filter3_rot,filter3_x,filter3_y,file
10,16,28,0.06630000000000004,3.150390625,0.951171875,0.06540000000000004,3.408203125,0.966796875,0.0683000000000001,3.126953125,0.966796875,D10-6188-6193
10,17,27,0.06680000000000005,3.029296875,0.888671875,0.06480000000000002,3.255859375,0.904296875,0.06620000000000004,3.005859375,0.900390625,D10-7392-7397
10,23,55,0.06760000000000008,2.701171875,0.982421875,0.0676000000000001,2.826171875,1.005859375,0.06680000000000005,2.677734375,0.994140625,D10-36647-36652
11,03,05,0.07140000000000019,2.802734375,0.919921875,0.06610000000000006,2.908203125,0.943359375,0.06900000000000012,2.783203125,0.927734375,D11-5099-5104
11,11,08,0.0686000000000001,3.396484375,0.740234375,0.0641,3.470703125,0.767578125,0.06750000000000007,3.369140625,0.748046875,D11-42156-42161
11,12,54,0.06760000000000008,3.412109375,0.732421875,0.0641,3.490234375,0.755859375,0.06550000000000002,3.388671875,0.744140625,D11-47985-47990
12,00,14,0.06960000000000013,2.732421875,0.958984375,0.0673000000000001,2.751953125,0.998046875,0.06960000000000013,2.708984375,0.970703125,D12-908-913
12,01,56,0.06770000000000008,2.708984375,0.947265625,0.06720000000000009,2.728515625,0.986328125,0.06750000000000007,2.693359375,0.955078125,D12-3980-3985
12,03,12,0.0683000000000001,2.728515625,0.916015625,0.06600000000000006,2.744140625,0.947265625,0.06650000000000005,2.708984375,0.923828125,D12-8268-8273
12,07,23,0.06880000000000011,3.099609375,0.931640625,0.06590000000000006,3.095703125,0.962890625,0.065,3.076171875,0.935546875,D12-13537-13542
12,14,52,0.06630000000000004,3.482421875,0.732421875,0.06620000000000006,3.478515625,0.767578125,0.06740000000000007,3.455078125,0.744140625,D12-42207-42212
12,18,57,0.06660000000000005,3.259765625,0.802734375,0.06440000000000001,3.251953125,0.837890625,0.06710000000000006,3.236328125,0.814453125,D12-50025-50030
12,20,28,0.06760000000000008,3.146484375,0.841796875,0.06490000000000003,3.123046875,0.884765625,0.06740000000000007,3.119140625,0.857421875,D12-57025-57030
12,22,54,0.06930000000000013,2.939453125,0.912109375,0.06880000000000014,2.912109375,0.958984375,0.07250000000000022,2.916015625,0.927734375,D12-63736-63741
13,08,01,0.0682000000000001,2.978515625,0.861328125,0.06480000000000002,2.923828125,0.900390625,0.06650000000000005,2.955078125,0.869140625,D13-24007-24012
13,09,26,0.06620000000000004,3.123046875,0.837890625,0.06600000000000006,3.068359375,0.876953125,0.06560000000000002,3.095703125,0.845703125,D13-29589-29594
13,14,52,0.06550000000000002,3.501953125,0.724609375,0.06450000000000002,3.447265625,0.767578125,0.06590000000000003,3.474609375,0.736328125,D13-64117-64122
13,16,11,0.06650000000000005,3.513671875,0.712890625,0.06500000000000003,3.455078125,0.755859375,0.06570000000000002,3.478515625,0.728515625,D13-69239-69244
13,20,23,0.06720000000000007,3.330078125,0.779296875,0.06440000000000001,3.267578125,0.826171875,0.06690000000000006,3.302734375,0.791015625,D13-85807-85812
14,01,38,0.07470000000000028,2.896484375,0.927734375,0.06880000000000014,2.833984375,0.966796875,0.07050000000000016,2.865234375,0.935546875,D14-4250-4255
14,04,46,0.07160000000000019,2.763671875,0.935546875,0.07010000000000018,2.693359375,0.982421875,0.06870000000000011,2.736328125,0.947265625,D14-16648-16653
14,09,32,0.06800000000000009,2.990234375,0.841796875,0.0673000000000001,2.908203125,0.888671875,0.06740000000000007,2.966796875,0.849609375,D14-26854-26859
14,13,15,0.06730000000000007,3.353515625,0.779296875,0.06610000000000006,3.271484375,0.830078125,0.06680000000000005,3.322265625,0.791015625,D14-43335-43340
14,19,24,0.07040000000000016,3.490234375,0.720703125,0.06560000000000005,3.400390625,0.771484375,0.06790000000000009,3.458984375,0.728515625,D14-85199-85204
14,20,23,0.06690000000000006,3.447265625,0.728515625,0.06610000000000006,3.361328125,0.783203125,0.06660000000000005,3.416015625,0.744140625,D14-86813-86818
15,00,53,0.06780000000000008,3.099609375,0.865234375,0.0675000000000001,3.001953125,0.912109375,0.06800000000000009,3.064453125,0.880859375,D15-4008-4013
15,02,10,0.07220000000000021,2.998046875,0.908203125,0.0676000000000001,2.896484375,0.951171875,0.0717000000000002,2.970703125,0.912109375,D15-8636-8641
15,04,12,0.06970000000000014,2.853515625,0.951171875,0.06660000000000008,2.751953125,0.994140625,0.06930000000000013,2.830078125,0.955078125,D15-14468-14473
15,09,30,0.06770000000000008,2.876953125,0.876953125,0.06590000000000006,2.763671875,0.927734375,0.06680000000000005,2.853515625,0.884765625,D15-17870-17875
15,14,28,0.06670000000000005,3.318359375,0.759765625,0.06450000000000002,3.208984375,0.810546875,0.06550000000000002,3.294921875,0.767578125,D15-46194-46199
15,16,04,0.06720000000000007,3.451171875,0.767578125,0.06680000000000008,3.341796875,0.814453125,0.0651,3.423828125,0.775390625,D15-49464-49469
15,19,06,0.06880000000000011,3.552734375,0.708984375,0.06540000000000004,3.443359375,0.759765625,0.06600000000000003,3.517578125,0.720703125,D15-62847-62852
15,21,07,0.06740000000000007,3.509765625,0.716796875,0.06600000000000006,3.396484375,0.771484375,0.06650000000000005,3.474609375,0.736328125,D15-71539-71544
15,23,19,0.06740000000000007,3.376953125,0.763671875,0.06460000000000002,3.263671875,0.818359375,0.06870000000000011,3.349609375,0.783203125,D15-80651-80656
16,05,57,0.07160000000000019,2.892578125,0.947265625,0.06840000000000013,2.771484375,0.994140625,0.07300000000000023,2.869140625,0.958984375,D16-36893-36898
16,09,55,0.0686000000000001,2.841796875,0.896484375,0.06610000000000006,2.708984375,0.947265625,0.07230000000000021,2.822265625,0.908203125,D16-54286-54291
16,14,14,0.06660000000000005,3.169921875,0.802734375,0.06600000000000006,3.033203125,0.853515625,0.06650000000000005,3.138671875,0.814453125,D16-73036-73041
