timestamp,angle_deg,t_y,t_x,center_y,center_x,scale_x,scale_y,shear_x,shear_y,fun,obs_ID,line,wave
16252.827675,0.0562033461344368,-1.5576811780097886,-3.3518157324423825,798.2769414460768,1396.567290266656,0.9999132480021832,1.0000201797266766,-0.0001612074609997,0.0003227623397929,43.22766907856352,04_QSUN_QS4ab,517.0,0
16253.609337500002,0.0605189666832586,-0.8305507226810757,-3.244195202103349,799.6261161560203,766.6742436995257,0.9999759467332224,1.0000418578935804,-7.904487915503173e-05,0.0002688655041757,79.72448481512505,04_QSUN_QS4ab,525.02,0
17957.743816666665,0.021253593142602757,-1.514474819132487,-3.2675998938549844,1012.6470118412379,1399.9999999999718,0.9998784529920656,0.9999808858896625,-0.0007394714806324163,0.0009483882669967628,80.38861926729983,06_SPOT_AR1,517,0
17847.507449999997,0.0550013651804335,-1.2848337251004205,-3.4308891240227863,799.0586438974896,1142.8125865971704,0.99995282503441,0.9999630731046713,-0.0001614612242841,0.0003231155332242,79.37983504491679,06_SPOT_AR1,517.0,0
17847.507449999997,0.0448953900766381,-1.3297303728893652,-3.446015205974252,787.8083332766428,1186.3871689238667,0.99995400976518,0.999973814066781,-0.0003537011479778,0.000504208799436,92.2988569655217,06_SPOT_AR1,517.0,0
17847.507449999997,0.0448953900766381,-1.3297303728893652,-3.446015205974252,787.8083332766428,1186.3871689238667,0.99995400976518,0.999973814066781,-0.0003537011479778,0.000504208799436,92.2988569655217,06_SPOT_AR1,517.0,0
17848.872295833335,0.0568209037464498,-1.2393810637494242,-3.432123140440786,799.2752728518391,1094.7113894939505,0.9999561129088264,0.999963022877851,-0.0001428373318192,0.0002622201053186,77.95252098934839,06_SPOT_AR1,517.0,0
17848.872295833335,0.0503071665164415,-1.2516891193405306,-3.443315065372074,793.2958478820892,1107.9347013434012,0.9999559670595206,0.9999618945677904,-0.0002583962859204,0.0003773450862648,91.2327957168497,06_SPOT_AR1,517.0,0
17850.238108333335,0.053095204477506,-1.339131100325838,-3.4144669803972456,791.6977839816838,1183.5956458080598,0.9999143742854256,1.0000232658708992,-0.000217267758463,0.0003572563275461,79.17221245813903,06_SPOT_AR1,517.0,0
17850.238108333335,0.0473285082799648,-1.37228381655369,-3.419642392394576,785.2624457042803,1217.2102612265635,0.9999149804370238,1.0000288731444338,-0.0003016432240837,0.0004572048367614,91.1723984617733,06_SPOT_AR1,517.0,0
17851.60803333333,0.0508501406894512,-1.100716352465836,-3.422164805004196,798.7050865098439,987.4055812913851,0.9999127972051868,0.9999676997711616,-0.0002241175410387,0.0003783381046529,78.88857204319486,06_SPOT_AR1,517.0,0
17851.60803333333,0.0465018433718003,-1.1061398685862056,-3.424134744669223,798.3566400012854,992.8545577225404,0.9999131192087228,0.99996961424133,-0.0003192447150066,0.0004535032326772,91.8362389394914,06_SPOT_AR1,517.0,0
17853.064899999998,0.056089885421152,-1.080731851119218,-3.4273862905595807,801.2198752374651,958.9766201621876,0.9999153048595772,0.9999806320307612,-0.0001538840488515,0.0003088826452783,78.57626455367998,06_SPOT_AR1,517.0,0
17853.064899999998,0.0515600956703122,-1.0784094145642642,-3.426566336634116,802.3938309327959,957.757467607487,0.999916204211372,0.9999832260384895,-0.0002491496630059,0.000386392206993,90.5472306621072,06_SPOT_AR1,517.0,0
17854.52395,0.0385512366259042,-1.5402055598461326,-3.3358415279225992,887.298733875186,1387.710816399028,0.9999133037157938,0.9999813465930514,-0.0004565834179044,0.0006160209861287,80.4345300599675,06_SPOT_AR1,517.0,0
17854.52395,0.0360584765571966,-1.5302365073547275,-3.332697161274812,891.3222288952902,1386.8210924071905,0.9999125841325852,0.9999808955404718,-0.0004797305182933,0.0006534506120151,95.07143303913088,06_SPOT_AR1,517.0,0
17855.977225,0.0413998665280371,-1.41145564052053,-3.4675402325750704,776.6681438130186,1265.3423071254124,0.9999129617150871,0.9999753057332424,-0.0003999463445489,0.0005977659853448,80.59513515078126,06_SPOT_AR1,517.0,0
17855.977225,0.0378377001308557,-1.475848211435154,-3.4798781654752062,769.2751273863817,1314.7887778610475,0.999913506556525,0.9999744226675188,-0.0004711497596951,0.0006251953865664,93.91841702744335,06_SPOT_AR1,517.0,0
17857.434441666668,0.0402621764362651,-1.381569080126036,-3.462426251637681,775.4891595266037,1247.077787266216,0.9999117880466504,0.999995615616512,-0.0003958364288907,0.0006025486578474,80.44780098951568,06_SPOT_AR1,517.0,0
17857.434441666668,0.0372267436635625,-1.4076459482769388,-3.474889473764764,769.0303002768234,1263.914925534913,0.9999146446807956,0.9999931411463842,-0.0004850846277395,0.0006203440204588,92.61263788644666,06_SPOT_AR1,517.0,0
17858.889208333334,0.0445637158298078,-1.358728438931599,-3.455399299467404,784.0293247387949,1231.8017884327935,0.999916426001652,0.9999774198342628,-0.0003316896448904,0.0005172521231285,78.74608110410804,06_SPOT_AR1,517.0,0
17858.889208333334,0.0410687201102884,-1.380441900962048,-3.460219368419996,777.9198836618629,1246.84635114636,0.9999170353497984,0.9999834926504774,-0.0003917439883889,0.0005746918733803,91.76051616051252,06_SPOT_AR1,517.0,0
17860.345458333333,0.0475111263353687,-1.4043077206144223,-3.462201258376897,784.0226477599954,1275.5207647190118,0.999911769356892,0.9999898423479128,-0.0002917027882257,0.000477881562121,80.1999294466422,06_SPOT_AR1,517.0,0
17860.345458333333,0.0423153688703731,-1.463254735976974,-3.4885568551356143,778.1373327531815,1329.8174030474102,0.9999128740478208,0.9999720729564918,-0.0003681820960109,0.0005716747729373,91.54084385586948,06_SPOT_AR1,517.0,0
17861.713283333334,0.0438210524834038,-1.068145047625576,-3.40724708438892,797.3032859443175,978.0731948839416,0.9999573759491228,1.000023339461096,-0.0003248400479186,0.0005089994725697,79.40233945543393,06_SPOT_AR1,517.0,0
17861.713283333334,0.0387282662918987,-1.0752526591343694,-3.407828866604365,798.3000405088183,985.0788149328336,0.9999579803836572,1.0000219193234314,-0.0004305595181195,0.0005987632563132,91.27497021172567,06_SPOT_AR1,517.0,0
17863.1656,0.0392681164544222,-1.432693140363485,-3.5144040996681096,773.5973172526949,1301.2867937750343,0.9999078479539484,0.9999737123255944,-0.0004341660601431,0.0006356638137325,79.48997245457237,06_SPOT_AR1,517.0,0
17863.1656,0.0361799643171227,-1.4934978362348226,-3.5333302470616017,766.6278026009351,1353.7566876992196,0.9999121189935803,0.999954725406585,-0.0004752553880877,0.0006579361176281,93.3116032016896,06_SPOT_AR1,517.0,0
17864.6292,0.0402108487690916,-1.2308177971106369,-3.467084757295216,786.2370020487607,1117.4966493466377,0.9999111467929304,0.999958045638347,-0.0004080879174299,0.0006117699868205,83.16247235593205,06_SPOT_AR1,517.0,0
17864.6292,0.0363199670780149,-1.276306709746883,-3.475466670832726,781.6591572553579,1154.5926655957055,0.9999146703611912,0.9999549589708144,-0.0005003759154822,0.0006493458795996,96.22268361384224,06_SPOT_AR1,517.0,0
17866.08720833333,0.0424772572871152,-1.5400729945124358,-3.3546992906545148,890.5976428200339,1386.7772166997893,0.9999144842834308,0.9999890557152936,-0.0003650070779407,0.0005934727227945,82.74294624292888,06_SPOT_AR1,517.0,0
17866.08720833333,0.0363804209613911,-1.5616974753378794,-3.3431657133462926,896.6773417335544,1398.9572008192415,0.9999180176637164,0.9999846650895856,-0.0004813171677002,0.0006712125681242,95.35417724586983,06_SPOT_AR1,517.0,0
17867.544070833334,0.0490202513585368,-1.1669261200379974,-3.4251429162900524,794.9605791833334,1059.8189899467136,0.999915781337664,1.000013557827353,-0.000254311784346,0.0004408852048086,79.05599105178038,06_SPOT_AR1,517.0,0
17867.544070833334,0.0429499654407999,-1.1864298481168851,-3.432331391780437,792.0141389316441,1079.1923711965644,0.9999173076302438,1.0000104890132069,-0.0003787406634977,0.000549679223433,91.39741347157504,06_SPOT_AR1,517.0,0
17869.0012875,0.0532490746570973,-1.269249056634996,-3.4617083232587262,795.0050578931372,1169.0332589359357,0.9999148937389798,0.999980304387005,-0.0001621945421612,0.0003615694952708,80.09950275070445,06_SPOT_AR1,517.0,0
17869.0012875,0.0470982621375608,-1.317419476035767,-3.474602570010538,789.080050147672,1216.202075371999,0.9999147382821224,0.9999766435893462,-0.0002784920030907,0.0004747738737506,93.70007187507989,06_SPOT_AR1,517.0,0
17870.375766666664,0.04797215462784,-1.5187372109641168,-3.3458657277422086,877.9152310741849,1399.967083476554,0.999908925379258,0.9999882380846156,-0.0002689535782796,0.0004795014561918,84.35414432855328,06_SPOT_AR1,517.0,0
17870.375766666664,0.0412257068474657,-1.5160274118799504,-3.3209399844459373,898.2103848424962,1399.9999989627695,0.9999099228757492,0.999987965168726,-0.0003759909169777,0.0005997799529822,95.89050899405044,06_SPOT_AR1,517.0,0
17871.829833333333,0.0405590104369339,-1.511520128709455,-3.3528224609333046,881.3693152655173,1394.5782221962595,0.9999200087745388,0.9999922201280724,-0.00036837954387,0.0006069236022454,83.61879999527113,06_SPOT_AR1,517.0,0
17871.829833333333,0.0327254404466442,-1.5257981071873656,-3.332648416219355,896.4648943229132,1393.4107691083063,0.999955867362784,0.9999932347799084,-0.0005335609455928,0.0007151842324166,95.54586445682496,06_SPOT_AR1,517.0,0
17873.36855833333,0.0458435441049321,-1.1031963434221266,-3.461003779628269,794.9832312598824,1006.9822193679262,0.9999183234566492,0.9999670990151268,-0.0002963869587129,0.0004972842620868,81.3430271928842,06_SPOT_AR1,517.0,0
17873.36855833333,0.0412800964867263,-1.1110081479428588,-3.4617281483907463,795.2126019235958,1013.4534939920744,0.999919843756153,0.9999652877503008,-0.0003954030600076,0.0005812786829318,94.6188986644816,06_SPOT_AR1,517.0,0
17874.826383333333,0.0355665134063366,-1.5434960973740304,-3.3582344914391844,864.0616750504043,1395.5300327172895,0.9999200645378016,1.0000019819163544,-0.0004691388137403,0.000664715925693,81.75387386151051,06_SPOT_AR1,517.0,0
17874.826383333333,0.0302235836865605,-1.5472936188984296,-3.324886828156629,888.844633647908,1395.583301570705,0.99992017626811,1.0000071282123484,-0.0005815705779936,0.0007569252207269,95.06298466616708,06_SPOT_AR1,517.0,0
17876.1943,0.0417803593173428,-1.428791197703154,-3.478939744730135,775.5501224615941,1306.305767773885,0.999918030233486,0.9999956422281878,-0.0003689134223184,0.0005463215195724,80.10658324034048,06_SPOT_AR1,517.0,0
17876.1943,0.0351945687118812,-1.4492644534144077,-3.4065524853143434,834.571474893678,1322.2567919212129,0.9999185385584114,0.9999937510073634,-0.0004820250152742,0.0006659399347111,94.8650873023055,06_SPOT_AR1,517.0,0
17877.560808333335,0.041859592206796,-1.1503129123903626,-3.480359973282621,789.1394831240834,1059.7738515029648,0.999912531249174,0.99997720472088,-0.000370499684479,0.0005645202125299,82.2891968002025,06_SPOT_AR1,517.0,0
17877.560808333335,0.0352398259445165,-1.151473707713924,-3.4930875962267587,785.9509249632531,1060.7286994808055,0.99991345156328,0.99994053837899,-0.0005081395883032,0.0006517548642508,96.68002400708517,06_SPOT_AR1,517.0,0
17878.925658333334,0.0417356939245514,-1.246106901531014,-3.392970893272373,785.4531132243462,1135.671717230374,0.9999131706261126,1.0000209260426862,-0.0003838557139836,0.0005893097920657,77.2217077309164,06_SPOT_AR1,517.0,0
17878.925658333334,0.036918070632581,-1.295816907532588,-3.406546805354693,775.949504232839,1176.2533151125483,0.999914744242242,1.0000183986746514,-0.0005001737296702,0.0006383759477649,92.25431088678214,06_SPOT_AR1,517.0,0
17880.383133333333,0.0396689433781641,-1.4889715896745148,-3.351155868666761,891.8090135972899,1382.1266101486028,0.9999199415306756,0.9999990382051608,-0.0003985721670062,0.0005720417182089,80.9620199769039,06_SPOT_AR1,517.0,0
17880.383133333333,0.0347628436542259,-1.500755981784459,-3.3417585460538923,897.658803009448,1398.157221955328,0.999952834862221,1.0000015221733878,-0.000479596760925,0.0006511749365071,94.65707654309628,06_SPOT_AR1,517.0,0
