day,hour,min,rotation_angle_deg,translation_y,translation_x,center_y,center_x,scale_x,scale_y,shear_x,shear_y,minimal_rms_error,filename
10,16,28,0.06987548580070038,-0.56371263780976,-3.8639907991300606,509.21271750150964,707.9647761586695,0.9998795641203863,0.9999690227163209,0.00013560600431854859,0.00022216289951531917,14279.596418309618,pinholes_D10-6188-6193_filter_0.npz
10,17,27,0.07114353427603161,-0.5087622835201762,-3.75399343632756,509.5663021014818,718.5928701676229,0.999879943686835,0.9999622398402712,0.0001547796183697588,0.00021793312576676426,27495.71076516732,pinholes_D10-7392-7397_filter_0.npz
10,23,55,0.0803201254045002,-0.5970779980036571,-3.405766465639174,510.5357525418661,723.1744704797054,0.9998719985596605,0.9999661602317254,0.0002792865429819572,2.776031915391102e-05,19168.191199670226,pinholes_D10-36647-36652_filter_0.npz
11,3,4,0.07739427411221109,-0.537174152779418,-3.491140968173081,510.0806199055704,718.7805900610174,0.9998950575134941,0.9999644326382255,0.0002305683586386693,5.179146935318995e-05,19175.22714598431,pinholes_D11-5099-5104_filter_0.npz
11,11,8,0.054222793271310105,-0.30766887378439356,-4.10651710449635,504.45581606474394,669.9949078809667,0.9998699087232302,0.9999712204776144,-0.00012136893371519215,0.00048642804242857705,29637.87268525728,pinholes_D11-42156-42161_filter_0.npz
11,12,55,0.05347748497120828,-0.28687226225287354,-4.1243738109731956,503.6300056785999,656.981275751677,0.999877478770884,0.9999699595142143,-0.00013037100184195593,0.0004917492108068079,29329.814219486856,pinholes_D11-47985-47990_filter_0.npz
12,0,14,0.07832886175747981,-0.5698590856179823,-3.4445245800846283,510.1672275104403,719.2476897981118,0.9998800067937337,0.9999631683739931,0.0002391222384136375,8.397543475232473e-05,21183.84076881544,pinholes_D12-908-913_filter_0.npz
12,1,56,0.07817339261680069,-0.5607371291063394,-3.4159656424896387,509.9478679228939,720.57227132717,0.999883911630546,0.9999697345167163,0.00023020433927145673,6.291814572334223e-05,15998.687476298963,pinholes_D12-3980-3985_filter_0.npz
12,3,12,0.07678054687515191,-0.5426485115049277,-3.4086542663478325,510.8723274042941,725.6413311722525,0.9999063961904421,0.9999712420789278,0.00020732634115189742,3.675217036090947e-05,34052.77785277657,pinholes_D12-8268-8273_filter_0.npz
12,7,23,0.06700085725792915,-0.5463122821198831,-3.736650982990198,538.4671015939397,712.4078491416227,0.9999002689383959,0.999971447235441,6.664845708805407e-05,0.00019860818852438978,17987.579995251697,pinholes_D12-13537-13542_filter_0.npz
12,14,53,0.051324821619639756,-0.286191426976219,-4.201645602517557,501.4395486011727,655.4143120346622,0.9998814094657419,0.9999645017690953,-0.00017470091912998316,0.0005348587928194758,31131.968586875966,pinholes_D12-42207-42212_filter_0.npz
12,18,57,0.057586028707160966,-0.3894645296858373,-3.907876876516861,564.6590182084011,692.9544025077415,0.9998734466620809,0.9999750310559671,-8.150276424228166e-05,0.0004600565178448804,31268.87048464978,pinholes_D12-50025-50030_filter_0.npz
12,20,28,0.06355099780041826,-0.454549937174408,-3.81647015787375,551.5685982902127,709.1844791555378,0.9998791534260757,0.999983979067508,1.2421110046496082e-05,0.00035932888085163844,16990.85042051167,pinholes_D12-57025-57030_filter_0.npz
12,22,54,0.07554721128680952,-0.517850137058185,-3.6720882293820676,510.73077149654523,717.603072568672,0.9998770469921066,0.9999661719359023,0.0001922928596614416,0.00015950949783265418,19835.18113178866,pinholes_D12-63736-63741_filter_0.npz
13,8,1,0.06938224409651808,-0.48727905692736645,-3.6553737012710243,508.96881654568114,714.7946648767116,0.9999084046404214,0.9999990532358266,0.00010366161059938852,0.0001404218090865313,16748.58397724801,pinholes_D13-24007-24012_filter_0.npz
13,9,26,0.06309381894850245,-0.4623640700966747,-3.752194356865452,543.5545316331026,709.095982342315,0.999902210490679,0.9999577217242611,4.782671508655074e-06,0.0002781983657979528,30557.287057088888,pinholes_D13-29589-29594_filter_0.npz
13,14,52,0.05110598738834992,-0.26147365490527824,-4.219248335488951,505.5334076282722,648.7246552332018,0.9998713499565355,0.9999780127458705,-0.00017846782488650762,0.000530364257129825,15636.46494008131,pinholes_D13-64117-64122_filter_0.npz
13,16,11,0.04957567884322495,-0.2565174957661588,-4.231922261705306,504.7607260180625,650.247516735943,0.9998773999532199,0.9999711234087187,-0.00020836133158555118,0.0005711731102028959,17331.317121560205,pinholes_D13-69239-69244_filter_0.npz
13,20,23,0.05808208894856862,-0.33578963431629366,-4.056457491333546,505.4849112632835,670.1512050019601,0.9998741997400907,0.9999712937520049,-8.157615332083607e-05,0.0004374927947731246,19765.072186159337,pinholes_D13-85807-85812_filter_0.npz
14,1,38,0.07746041699851537,-0.5306151582077521,-3.6269865623926667,512.7684582989251,718.4427495300049,0.9998868755181046,0.9999652554166355,0.0002149736408456279,0.00013917849797495462,18912.551017580947,pinholes_D14-4250-4255_filter_0.npz
14,9,32,0.06761356800197654,-0.46210096850582344,-3.630574169648126,538.1023190278867,714.5053471823862,0.9999066222589248,0.9999763846112303,6.571894724644872e-05,0.0001915678478730946,15635.002707001484,pinholes_D14-26854-26859_filter_0.npz
14,13,15,0.05703638235592906,-0.3302225226657414,-4.073175017015533,504.784542014209,660.8063629052632,0.9998803638324127,0.9999676347282271,-8.422804133542957e-05,0.0004543282227936378,19075.705134018277,pinholes_D14-43335-43340_filter_0.npz
14,19,25,0.05061544707527799,-0.25581478696012117,-4.210886262390413,504.4435766112897,648.3332050290384,0.9998742851324532,0.9999781777439326,-0.0001923948412825607,0.000566721423786606,17006.741779262135,pinholes_D14-85199-85204_filter_0.npz
14,20,23,0.05155310412593855,-0.2757659976077413,-4.173200847361922,501.72306272209977,653.4943873806603,0.9998758009494151,0.999976236390241,-0.00018179812201731622,0.000549656368538613,20052.309775191097,pinholes_D14-86813-86818_filter_0.npz
15,0,53,0.0667535463482568,-0.4666993879978346,-3.7764244096535546,547.7009188266763,705.419649940494,0.9998821669511269,0.9999688377094791,5.118215715453213e-05,0.0003158196721941502,21353.40488785942,pinholes_D15-4008-4013_filter_0.npz
15,2,10,0.07146210827267833,-0.5099532236196038,-3.678361439657435,548.7025174315213,710.4362858988641,0.9998925797185154,0.9999698551164102,0.00012021305814195845,0.0002494696745676384,18876.901269738755,pinholes_D15-8636-8641_filter_0.npz
15,4,12,0.07971980683126072,-0.5465885984892777,-3.5887697223193253,509.412187251743,714.6165902641848,0.9998848990264408,0.9999577518438542,0.00024883467377167384,8.984904140131909e-05,12489.690952014527,pinholes_D15-14468-14473_filter_0.npz
15,9,30,0.07381837329205652,-0.4947928478109129,-3.557395863523989,509.8350199849817,715.015215597332,0.9999096763428343,0.9999981827955279,0.0001653671766360891,8.122630070786667e-05,15157.749101715533,pinholes_D15-17870-17875_filter_0.npz
15,14,28,0.05613729690301332,-0.32936188507395703,-4.008191038722224,504.95802962797364,670.014721628325,0.9998912468919549,0.9999656283063958,-0.00010800271468995762,0.0004040550400257445,17850.68653032591,pinholes_D15-46194-46199_filter_0.npz
15,16,4,0.05292867809894772,-0.3269045613157499,-4.154855380892108,503.06707506032365,664.7330812467699,0.9998823543286989,0.9999635219132308,-0.0001520579405436474,0.0004908834319560781,15433.848832618873,pinholes_D15-49464-49469_filter_0.npz
15,19,6,0.040703646044414225,-0.2971889707269358,-4.262415882856307,509.7892754884293,698.6292985170232,0.9998657708659587,0.9999702319681952,-0.0003649815230496183,0.0007274340634004452,18424.24568465168,pinholes_D15-62847-62852_filter_0.npz
15,21,7,0.04317468134446153,-0.317777858410627,-4.216954505550744,515.1680368755876,704.2569017673725,0.9998701299778852,0.9999765189978548,-0.00033280126715956224,0.0006870707806377896,15870.21000841435,pinholes_D15-71539-71544_filter_0.npz
15,23,19,0.05557160477981435,-0.30822775857204354,-4.112938499245152,504.4619519417161,655.9292125312658,0.9998762799391373,0.9999674510804546,-0.00011992086845300389,0.0004967867096234259,17266.385193556685,pinholes_D15-80651-80656_filter_0.npz
16,5,56,0.07830676612518417,-0.543706176627447,-3.629237541978655,510.0131192282195,716.2487028634006,0.9998820961699246,0.9999548907653668,0.00021959625191430774,0.00012441032844050847,15617.794037562353,pinholes_D16-36893-36898_filter_0.npz
16,9,56,0.07547218890127004,-0.5105721251134813,-3.5258417267052415,509.96529048579816,717.0150622734507,0.9998995829249379,0.9999618902441413,0.000172750445642087,7.34843153921396e-05,17870.393868577386,pinholes_D16-54286-54291_filter_0.npz
16,14,14,0.05996922615220769,-0.4202468670174585,-3.806405292128869,545.3799727642436,701.5007829214096,0.9999067283056541,0.9999870387984191,-4.9569538771434583e-05,0.00034169054656099033,17282.771850582478,pinholes_D16-73036-73041_filter_0.npz
